GSE ID	Species	Num Samples	Platform	Description
GSE0001	rat	51-100	Microarray	"The cat dances on the roof, twirling gracefully, unaware of the admiring audience below."
GSE0002	human	501-1000	RNA sequencing	"The dog sings in the park, serenading the passersby with its joyful melody."
GSE0003	rat	501-1000	Microarray	"The bird hops in the garden, chasing after fluttering butterflies with boundless energy."
GSE0004	human	101-500	RNA sequencing	"The rabbit plays in the field, darting among tall grasses with playful abandon."
GSE0005	human	101-500	Microarray	"The fish swims in the pond, gliding effortlessly through the shimmering waters."
GSE0006	rat	11-50	RNA sequencing	"The turtle sleeps under the tree, its shell providing a cozy shelter from the sun."
GSE0007	human	11-50	RNA sequencing	"The hamster runs in its wheel, spinning round and round, a blur of fur and excitement."
GSE0008	mouse	501-1000	RNA sequencing	"The frog eats bugs happily, its sticky tongue flicking out to catch unsuspecting prey."
GSE0009	rat	1000+	RNA sequencing	"The pig rolls in the mud, squealing with delight as it revels in the cool, gooey embrace."
GSE0010	human	101-500	RNA sequencing	"The duck flies over the lake, wings outstretched, gliding gracefully on the gentle breeze."
GSE0011	mouse	11-50	RNA sequencing	"The cat sleeps in the sunbeam, basking in the warmth, whiskers twitching in contentment."
GSE0012	mouse	1000+	RNA sequencing	"The dog chases its tail joyfully, spinning in circles with unbridled enthusiasm."
GSE0013	mouse	1000+	Microarray	"The bird builds a nest, meticulously weaving twigs and grass into a cozy home."
GSE0014	mouse	51-100	RNA sequencing	"The rabbit nibbles on carrots, crunching happily, its cheeks bulging with each bite."
GSE0015	human	501-1000	Microarray	"The fish jumps in the water, splashing playfully, sending ripples across the surface."
GSE0016	human	101-500	Microarray	"The turtle basks in the sun, soaking up its golden rays, shell gleaming in the light."
GSE0017	human	1000+	RNA sequencing	"The hamster cuddles its owner, snuggling close, tiny paws wrapping around a finger."
GSE0018	human	501-1000	RNA sequencing	"The frog croaks at night, serenading the moon with its melodic song."
GSE0019	rat	1000+	RNA sequencing	"The pig oinks with delight, trotting happily alongside its pen mates."
GSE0020	mouse	51-100	RNA sequencing	"The duck waddles in the grass, quacking softly, its webbed feet leaving tiny imprints."
GSE0021	rat	1-10	Microarray	"The cat pounces on a toy, batting it around with lightning-fast reflexes."
GSE0022	mouse	51-100	RNA sequencing	"The dog fetches a ball, bounding across the yard, tail wagging furiously."
GSE0023	mouse	501-1000	RNA sequencing	"The bird chirps melodiously, filling the air with its sweet, cheerful song."
GSE0024	human	101-500	RNA sequencing	"The rabbit explores the garden, nose twitching as it sniffs out new adventures."
GSE0025	mouse	1000+	Microarray	"The fish glides gracefully, fins rippling as it moves effortlessly through the water."
GSE0026	human	501-1000	Microarray	"The turtle hides in its shell, retreating from the world, a safe haven in times of trouble."
GSE0027	human	1-10	Microarray	"The hamster nibbles on seeds, cheeks bulging as it hoards its tiny treasures."
GSE0028	rat	501-1000	RNA sequencing	"The frog leaps from lily pad to lily pad, agile and swift, a master of its watery domain."
GSE0029	mouse	1000+	RNA sequencing	"The pig snuggles with its siblings, nuzzling close, seeking warmth and companionship."
GSE0030	human	11-50	Microarray	"The duck splashes in a puddle, water droplets flying, feathers glistening in the sunlight."
GSE0031	human	51-100	RNA sequencing	"The cat purrs contentedly, curled up in a patch of sunlight, eyes half-closed in bliss."
GSE0032	human	11-50	Microarray	"The dog wags its tail eagerly, a blur of wagging fur and happy anticipation."
GSE0033	mouse	101-500	RNA sequencing	"The bird preens its feathers, meticulously grooming each one to perfection."
GSE0034	rat	1-10	Microarray	"The rabbit thumps its foot, a warning to would-be intruders, asserting its dominance."
GSE0035	rat	1-10	Microarray	"The fish schools with others, moving as one, a shimmering, synchronized spectacle."
GSE0036	rat	51-100	RNA sequencing	"The turtle digs in the sand, burying itself deep, a silent sentinel of the shore."
GSE0037	mouse	501-1000	RNA sequencing	"The hamster spins in circles, a whirlwind of fur and motion, chasing its own tail."
GSE0038	rat	11-50	RNA sequencing	"The frog catches insects, tongue darting out with lightning speed, snaring its prey."
GSE0039	mouse	1000+	RNA sequencing	"The pig wallows in happiness, rolling in the soft earth, grunting with pure joy."
GSE0040	rat	101-500	RNA sequencing	"The duck quacks loudly, announcing its presence to the world, a proud declaration."
GSE0041	mouse	501-1000	Microarray	"The cat climbs a tree, agile and graceful, its claws gripping the bark with ease."
GSE0042	rat	1000+	RNA sequencing	"The dog barks at strangers, a loyal guardian, protecting its home and family."
GSE0043	human	101-500	RNA sequencing	"The bird nests in the branches, carefully arranging twigs and feathers into a cozy home."
GSE0044	human	11-50	RNA sequencing	"The rabbit flops in the shade, ears drooping, whiskers twitching in the breeze.
GSE0045	rat	101-500	RNA sequencing	"The fish glows in the dark, bioluminescent scales shimmering like stars in the night sky."
GSE0046	human	1000+	RNA sequencing	"The turtle crawls on land, slow and steady, a determined traveler on a lifelong journey."
GSE0047	rat	51-100	Microarray	"The hamster runs through tubes, exploring its maze-like habitat with curiosity and zeal."
GSE0048	rat	51-100	Microarray	"The frog basks in the moonlight, its skin shimmering silver, a creature of the night."
GSE0049	rat	101-500	Microarray	"The pig roots in the soil, snuffling and snorting, searching for hidden treasures below."
GSE0050	rat	11-50	RNA sequencing	"The duck paddles in a stream, water cascading off its back, a picture of serene beauty."
GSE0051	rat	1-10	Microarray	"The cat plays with yarn, batting it around with delicate paws, eyes gleaming with mischief."
GSE0052	mouse	11-50	Microarray	"The dog chews on a bone, gnawing contentedly, tail thumping against the floor."
GSE0053	human	101-500	Microarray	"The bird swoops through the sky, wings outstretched, soaring on the wind."
GSE0054	human	1000+	Microarray	"The rabbit cuddles with its mate, noses twitching as they nuzzle close, a picture of love."
GSE0055	mouse	501-1000	Microarray	"The fish explores coral reefs, darting among vibrant colors, a dazzling display of life."
GSE0056	mouse	1-10	Microarray	"The turtle hibernates in winter, buried deep in the mud, dreaming of warmer days."
GSE0057	human	51-100	RNA sequencing	"The hamster grooms its fur, licking each paw with meticulous care, fur sleek and shiny."
GSE0058	mouse	101-500	RNA sequencing	"The frog leaps over lily pads, legs propelling it through the air, a graceful arc."
GSE0059	mouse	501-1000	Microarray	"The pig sniffs for truffles, nose buried in the earth, searching for hidden treasures."
GSE0060	mouse	1000+	Microarray	"The duck preens its feathers, smoothing them with delicate beak strokes, a creature of elegance."
GSE0061	human	101-500	RNA sequencing	"The cat stretches lazily, arching its back, claws extending with sleepy contentment."
GSE0062	rat	501-1000	Microarray	"The dog naps in the sun, curled up in a patch of warmth, snoring softly."
GSE0063	rat	51-100	Microarray	"The bird builds a nest, tirelessly working, a labor of love for its future offspring."
GSE0064	rat	51-100	Microarray	"The rabbit thumps its back leg, a sign of annoyance, demanding attention and respect."
GSE0065	mouse	501-1000	RNA sequencing	"The fish hides among rocks, blending in with its surroundings, a master of camouflage."
GSE0066	mouse	1000+	RNA sequencing	"The turtle sunbathes on a log, shell gleaming, soaking up the sun's golden rays."
GSE0067	mouse	11-50	Microarray	"The panda munches on bamboo, contentedly chewing, black and white fur gleaming in the sunlight."
GSE0068	human	11-50	Microarray	"The kangaroo hops across the outback, powerful legs propelling it forward with effortless grace."
GSE0069	mouse	501-1000	RNA sequencing	"The lion roars in the savanna, mane billowing in the wind, a majestic king of the jungle."
GSE0070	rat	501-1000	RNA sequencing	"The elephant trumpets loudly, ears flapping as it strolls through the grasslands, a gentle giant."
GSE0071	mouse	51-100	Microarray	"The cheetah sprints across the plains, lightning-fast, a blur of spotted fur and raw speed."
GSE0072	mouse	1-10	Microarray	"The giraffe reaches for leaves, neck stretching high into the canopy, a graceful tower of elegance."
GSE0073	mouse	1-10	Microarray	"The polar bear swims in icy waters, sleek and powerful, hunting for seals beneath the frozen surface."
GSE0074	rat	501-1000	Microarray	"The penguin waddles on the ice, flippers outstretched, a comical march in the Antarctic chill."
GSE0075	mouse	1-10	Microarray	"The orangutan swings through the trees, agile and acrobatic, a playful display of arboreal prowess."
GSE0076	mouse	51-100	Microarray	"The gorilla pounds its chest, asserting dominance, a formidable presence in the lush rainforest."
GSE0077	rat	1000+	RNA sequencing	"The wolf howls at the moon, haunting melody echoing through the night, a wild symphony."
GSE0078	human	501-1000	Microarray	"The tiger prowls through the jungle, stripes blending with dappled shadows, silent and stealthy."
GSE0079	mouse	51-100	RNA sequencing	"The hippo wallows in the river, massive bulk submerged, nostrils peeking above the surface."
GSE0080	human	51-100	RNA sequencing	"The rhino charges through the grasslands, horn lowered, unstoppable force of nature."
GSE0081	rat	11-50	RNA sequencing	"The crocodile lurks in the swamp, eyes glinting with predatory intent, waiting patiently for its prey."
GSE0082	human	51-100	RNA sequencing	"The ostrich races across the desert, legs pumping, feathers ruffling in the hot desert breeze."
GSE0083	rat	101-500	Microarray	"The camel trudges through the sand dunes, resilient and determined, a desert nomad."
GSE0084	human	51-100	Microarray	"The llama grazes on mountain slopes, woolly coat keeping it warm in high-altitude chill."
GSE0085	human	1-10	Microarray	"The flamingo wades in shallow waters, slender neck curved gracefully, a splash of vibrant pink."
GSE0086	rat	51-100	RNA sequencing	"The meerkat stands guard, vigilant sentinel in the African plains, eyes scanning for danger."
GSE0087	rat	51-100	Microarray	"The anteater sniffs for ants, long nose probing into anthills, tongue flicking out to capture prey."
GSE0088	mouse	101-500	Microarray	"The sloth hangs from tree branches, slow and sleepy, a gentle inhabitant of the canopy."
GSE0089	human	1-10	Microarray	"The armadillo rolls into a ball, armored shell protecting it from harm, a living fortress."
GSE0090	mouse	501-1000	Microarray	"The hedgehog curls into a spiky ball, sharp quills bristling in defense, a prickly protector."
GSE0091	mouse	101-500	RNA sequencing	"The octopus hides in a rocky crevice, tentacles undulating, master of disguise in the ocean depths."
